Taxa	trait1	trait2	trait3
QS002_shandong_weifang	189.3333333	26.97	4 
QS004_shandong_weifang	154.3333333	19.05666667	4 
QS007_shandong_weifang	241	26.01	2 
QS008_shandong_weifang	240.6666667	28.42	2 
QS009_henan_nanyang	185	25.14333333	4 
QS010_anhui_chuzhou	113.6666667	19.82	2 
QS011_henan_nanyang	170.6666667	24.15	3 
QS013_hubei_xiangyang	238.3333333	27.88333333	4 
QS017_hubei_xiangyang	228.6666667	28.91666667	4 
QS018_henan_luoyang	163.3333333	22.77666667	4 
QS021_henan_nanyang	176	25.73666667	4 
QS023_anhui_chuzhou	206	30.94666667	4 
QS031_henan_nanyang	206.3333333	27.99666667	4 
QS032_henan_luoyang	171.3333333	25.81666667	4 
QS034_henan_hebi	187	25.80666667	3 
QS037_henan_anyang	213.3333333	30.1	4 
QS040_shandong_yantai	216.6666667	30.23666667	4 
QS043_hubei_xiangyang	126.3333333	17.71666667	4 
QS044_henan_luoyang	221.6666667	24.21333333	4 
QS049_hubei_xiangyang	206.3333333	26.10333333	2 
QS052_anhui_bozhou	129.3333333	25.19333333	4 
QS053_henan_nanyang	182.3333333	20.98333333	4 
QS054_beijing_beijing	198	27.20666667	4 
QS055_henan_nanyang	189.3333333	22.58	4 
QS058_henan_sanmenxia	234.6666667	26.12666667	4 
QS059_hubei_xiangyang	145.3333333	24.29	4 
QS061_beijing_beijing	249.5	26.15333333	4 
QS063_beijing_beijing	136.3333333	22.10333333	4 
QS076_hubei_xiangyang	167	24.49	2 
QS079_hubei_xiangyang	206	30.67666667	3 
QS080_shandong_linyi	190.6666667	20.82666667	4 
QS083_hubei_xiangyang	202.6666667	27.26666667	4 
QS084_beijing_beijing	165	24.42333333	4 
QS088_beijing_beijing	174	26.09666667	4 
QS089_henan_nanyang	170.6666667	24.5	3 
QS091_henan_nanyang	161.3333333	23.83333333	4 
QS093_hubei_xiangyang	191.6666667	24.91666667	4 
QS094_henan_luoyang	172	21.52	2 
QS095_hubei_xiangyang	180.6666667	26.78	4 
QS096_hubei_xiangyang	147.3333333	22.63333333	4 
QS097_henan_luoyang	204.6666667	23.59	4 
QS100_henan_nanyang	183.6666667	25.54333333	4 
QS102_henan_jiyuan	225.6666667	30.06666667	3 
QS103_hubei_xiangyang	136	18.26666667	4 
QS104_hubei_xiangyang	152.3333333	20.09	4 
QS108_hubei_xiangyang	189	27.40333333	4 
QS111_hubei_xiangyang	150.3333333	19.28666667	4 
QS114_henan_nanyang	175.6666667	29.07666667	4 
QS115_henan_nanyang	212	28.54333333	2 
QS117_hubei_xiangyang	182.6666667	23.81666667	4 
QS118_hubei_xiangyang	196.6666667	28.33	4 
QS120_anhui_suzhou	205	29.74	4 
QS123_henan_nanyang	136.6666667	23.24333333	4 
QS124_henan_sanmenxia	141.3333333	20.47	4 
QS126_henan_zhoukou	192.6666667	30.54	4 
QS127_henan_zhoukou	214.3333333	26.83	3 
QS129_henan_nanyang	208	26.69666667	4 
QS130_anhui_bozhou	209.3333333	26.92333333	4 
QS131_hubei_xiangyang	186.6666667	29.55333333	4 
QS133_anhui_suzhou	205.6666667	29.25666667	4 
QS138_henan_nanyang	173.6666667	24.88	4 
QS141_hubei_xiangyang	190	29.07	4 
QS143_henan_nanyang	169.6666667	25.92666667	4 
QS144_hubei_xiangyang	167.3333333	23.95	4 
QS146_henan_nanyang	184	20.50333333	4 
QS147_henan_luoyang	196.6666667	22.81	4 
QS148_hubei_xiangyang	205.6666667	27.85666667	4 
QS160_henan_luoyang	172.3333333	22.94	4 
QS162_shandong_weifang	164	20.77	4 
QS163_henan_nanyang	214.3333333	26.50666667	4 
QS164_hubei_xiangyang	181.3333333	26.56333333	4 
QS166_henan_sanmenxia	181.3333333	27.78333333	4 
QS167_beijing_beijing	223.3333333	22.42	4 
QS169_beijing_beijing	181.3333333	23.81666667	4 
QS174_beijing_beijing	106.5	16.69666667	4 
QS179_henan_nanyang	190	26.52666667	4 
QS181_beijing_beijing	212	25.89666667	4 
QS187_henan_zhoukou	225.6666667	26.95	4 
QS189_hubei_shiyan	191.3333333	31.56	4 
QS190_shandong_weifang	177.3333333	26.94666667	4 
QS193_anhui_suzhou	169	25.39666667	4 
QS194_beijing_beijing	115	21.25333333	4 
QS195_henan_zhengzhou	195	29.67333333	4 
QS196_fujian_fuzhou	166	22.61333333	4 
QS197_shandong_zaozhuang	206.6666667	30.07666667	3 
QS198_shandong_zaozhuang	247	31.51333333	1 
QS199_shandong_zaozhuang	199.3333333	25.85666667	4 
QS200_shandong_zaozhuang	176	26.89333333	4 
QS201_shandong_zaozhuang	197.6666667	26.07	4 
QS202_henan_nanyang	197.6666667	28.83333333	4 
QS203_henan_nanyang	201.6666667	28.57333333	4 
QS204_henan_nanyang	192	27.08	4 
QS205_henan_nanyang	219	30.12666667	2 
QS206_henan_nanyang	144.3333333	20.12666667	4 
QS207_henan_xiangyang	180	26.25666667	4 
QS208_henan_nanyang	210.6666667	26.74333333	4 
QS209_henan_nanyang	201	30.35666667	4 
QS210_shandong_jining	219.6666667	26.95	3 
QS211_shandong_jining	243	30.25666667	3 
QS212_henan_nanyang	205.6666667	25.29666667	4 
QS213_henan_nanyang	148.3333333	23.02666667	3 
