Taxa	DTA_BJ	EW_BJ	PH_BJ
MG_49	63	46	249.6
MG_52	68	85	209.8
MG_55	63	94	233.6
MG_57	66	86.66666667	248.75
MG_58	62	60	206.25
MG_60	63	80	219.75
MG_61	63	54	230.4
MG_64	65	64	207.5
MG_66	62	70	206.5
MG_67	63	58	187.8
MG_69	63	96	183.5
MG_70	65	66.66666667	212
MG_72	62	73.33333333	239.6
MG_73	65	64	245.8
MG_79	65	92	245.6
MG_80	63	94	209.75
MG_81	65	72.5	228.25
MG_83	63	48	210.8
MG_84	67	40	207.75
MG_88	62	72	209.6
MG_89	64	75	207
MG_91	63	96	268.6
MG_92	65	65	203
MG_93	66	63.33333333	223.6
MG_971	71	8	186.75
MG_97	68	86.66666667	187
MG_98	67	97.5	203.25
MG_99	65	90	202
MG_101	69	65	208.2
MG_103	66	90	226.4
MG_104	68	68	229.6
MG_105	71	73.33333333	199
MG_107	67	43.33333333	240.4
MG_108	68	40	237.6
MG_109	67	48	223.5
MG_110	62	96	185.4
MG_111	64	90	215.4
MG_113	66	88	226.25
MG_114	67	75	210.4
MG_115	62	80	185.2
MG_116	65	92	191.75
MG_120	65	94	218
MG_121	63	74	213.2
MG_123	63	98	253.25
MG_124	63	92	215.4
MG_127	68	83.33333333	204.25
MG_132	61	96.66666667	211.6
MG_136	66	82.5	192
MG_137	62	92	231
MG_138	61	90	195.25
MG_139	63	95	209.2
MG_140	63	80	220.4
MG_141	62	90	231.4
MG_142	66	66	195.5
MG_143	66	92.5	242.25
MG_144	65	78	262.2
MG_145	63	30	186
MG_147	66	74	192.8
MG_148	68	55	248
MG_149	64	90	224
MG_150	64	60	225.8
MG_151	61	64	225.5
MG_153	66	62	224.2
MG_155	68	58	189.25
MG_157	64	70	248.2
MG_158	61	88	214.2
MG_160	68	92	221.2
MG_166	61	66.66666667	187.25
MG_168	68	92	230.25
MG_169	63	96	197.2
MG_171	65	27.5	223.2
MG_172	64	72	159.4
MG_173	66	90	211
MG_174	71	16.66666667	247.5
MG_175	68	76	238
MG_176	69	42.5	230.25
MG_178	62	65	234.25
MG_179	70	35	179.75
MG_180	64	68	233
MG_183	63	40	243.5
MG_186	69	83.33333333	193.25
MG_188	63	95	245.75
MG_190	64	66	252
MG_191	63	64	225.75
MG_193	63	95	225
MG_195	62	75	224.2
MG_196	63	90	260.4
MG_197	63	53.33333333	217
MG_198	68	50	232.4
MG_199	66	94	244.6
MG_200	65	80	215
MG_201	70	57.5	207.2
MG_202	61	76.66666667	227.6
MG_205	67	92	195.5
MG_207	68	70	209.4
MG_208	62	36.66666667	215.8
MG_209	68	96	247.6
MG_210	68	54	215
MG_211	63	46.66666667	210
MG_212	66	70	254.5
MG_213	64	90	256.75
MG_215	65	82.5	224.8
MG_218	68	83.33333333	206.75
MG_219	64	80	226.2
MG_221	68	56	219.6
MG_224	68	86	195.5
MG_227	66	73.33333333	258.2
MG_228	68	90	189.2
MG_229	63	80	210.4
MG_230	62	80	220.5
MG_232	72	70	220
MG_233	68	88	233
MG_234	65	66.66666667	194.75
MG_235	66	82	206.8
MG_236	66	36.66666667	223.6
MG_237	64	86	186.75
MG_238	63	66	233.75
MG_240	66	82.5	220.25
MG_241	70	65	218
MG_242	63	76.66666667	201
MG_243	65	85.33333333	215.6
MG_246	71	46	235
MG_247	64	70	168
MG_250	65	66.66666667	217.6
MG_251	68	43.33333333	188.4
MG_253	63	95	203.25
MG_254	63	60	240.8
MG_255	70	76.66666667	208
MG_256	68	55	187.5
MG_259	69	15	178
MG_260	68	80	288.25
MG_261	66	72.5	234.4
MG_262	68	26	181.25
MG_263	64	57.5	237
MG_264	65	90	248.6
MG_265	72	60	211.2
MG_266	68	48	241.2
MG_267	66	80	218.5
MG_269	66	96.66666667	239.6
MG_273	77	74	204.8
MG_276	69	65	228.6
MG_278	65	76.66666667	190.2
MG_280	63	33.33333333	227.25
MG_281	68	98	209.6
MG_282	64	58	204.4
MG_283	65	38	205
MG_285	63	56.66666667	245.2
MG_286	66	86.66666667	202
MG_289	66	96.66666667	246.8
MG_291	65	90	210.5
MG_297	65	94	231.2
MG_299	66	58	189
MG_300	63	98	236
MG_302	65	88	212.2
MG_304	67	94	238.4
MG_305	65	78	223.6
MG_309	65	50	204.2
MG_310	66	46	225
MG_311	64	60	227.6
MG_312	68	55	217
MG_314	68	96.66666667	259.25
MG_318	62	80	216.5
MG_320	69	90	230.4
MG_321	67	86	235.4
MG_322	63	70	200.2
MG_323	70	72.5	195.6
MG_325	65	84	221.2
MG_327	69	93.33333333	220
MG_328	68	90	227.5
MG_329	65	94	190.4
MG_330	64	60	172
MG_333	64	72.5	222.6
MG_334	70	74	232.6
MG_337	67	90	177
MG_338	67	73.33333333	223.5
MG_339	63	70	228
MG_341	68	42.5	269.6
MG_343	63	70	234
MG_345	78	30	189
MG_346	66	53.33333333	195.8
MG_347	66	75	235
MG_349	68	32	180.75
MG_350	68	80	224
MG_351	62	50	194
MG_352	68	77.5	224.4
MG_353	67	77.5	240
MG_354	68	94	215
MG_356	66	40	199
MG_358	65	86.66666667	277.2
MG_360	68	72	189.75
MG_361	70	23.33333333	197.4
MG_362	68	92	193.4
MG_365	67	68	262.5
MG_366	67	85	224.25
MG_367	67	60	229.4
MG_368	69	60	215.2
MG_369	65	46	179
MG_372	66	43.33333333	220.4
MG_373	64	64	235.4
MG_374	65	66.66666667	211
MG_376	65	25	222.25
MG_377	75	80	253.6
MG_379	63	90	234.2
MG_381	66	72	220.4
MG_382	66	52.5	224
MG_384	64	73.33333333	244.8
MG_385	67	88	223
MG_387	71	66	259.5
MG_388	67	64	192.4
MG_389	66	84	217.2
MG_390	63	53.33333333	245.8
MG_394	65	43.33333333	216.2
MG_395	66	82.5	226.8
MG_396	68	74	180.25
MG_398	65	75	239
MG_400	69	83.33333333	226.2
MG_401	67	57.5	253.4
MG_404	67	96	215
MG_405	64	67.5	193.2
MG_406	63	80	225
MG_407	64	90	218.4
MG_408	68	62	254
MG_411	65	42	182.8
MG_413	64	60	237.5
MG_414	67	42.5	256
MG_416	65	94	226.2
MG_417	65	86.66666667	223.6
MG_419	68	97.5	216.4
MG_420	73	33.33333333	221.6
MG_421	72	80	217
MG_424	66	40	195.8
MG_425	66	80	243.6
MG_429	65	90	212.6
MG_430	64	66.66666667	225.75
MG_431	66	70	227.2
MG_433	68	32.5	234.6
MG_435	68	68	206.75
MG_436	63	82	260.2
MG_437	66	92	230.4
MG_438	70	92	197.4
MG_439	63	70	208.8
MG_440	70	98	156.25
MG_442	66	50	175
MG_443	66	77.5	238.5
MG_445	69	90	207.8
MG_446	71	72	178.3333333
MG_447	71	12	221.6
MG_449	67	70	231.4
MG_452	67	80	185.6
MG_453	63	66.66666667	245
MG_454	73	60	233.5
MG_457	63	46.66666667	201.8
MG_459	66	58	237
MG_463	68	84	250.4
MG_465	68	30	202.8
MG_466	65	60	240.25
MG_467	62	76.66666667	210.75
MG_468	68	24	251
MG_472	66	92.5	230.8
MG_473	64	47.5	194.5
MG_474	69	86.66666667	242.6
MG_476	65	90	248.6
MG_477	68	60	255.4
MG_478	67	53.33333333	169.4
MG_479	67	56.66666667	192.8
MG_481	63	93.33333333	224.4
MG_483	65	90	228.6666667
MG_484	66	94	280
MG_486	63	76	198
MG_488	71	96	178.6
MG_489	66	88	249
MG_490	66	37.5	237.2
MG_493	68	22.5	224
MG_494	67	92.5	239.75
