SNP	Chromosome	Position
wPt.0538	1	1
wPt.8463	1	2
wPt.6348	1	3
wPt.9992	1	4
wPt.2838	1	5
wPt.8266	1	6
wPt.1100	1	7
wPt.0653	1	8
wPt.4418	1	9
wPt.2152	1	10
wPt.9049	1	11
wPt.7068	1	12
wPt.1681	1	13
wPt.5480	1	14
wPt.1695	1	15
wPt.4025	1	16
wPt.4125	1	17
wPt.7238	1	18
wPt.7924	1	19
wPt.4029	1	20
wPt.5672	1	21
wPt.4600	1	22
wPt.4209	1	23
wPt.6777	1	24
wPt.8124	1	25
wPt.6117	1	26
wPt.5877	1	27
wPt.4814	1	28
wPt.9368	1	29
wPt.0245	1	30
wPt.8894	1	31
wPt.0473	1	32
wPt.4602	1	33
wPt.9196	1	34
wPt.1741	1	35
wPt.3855	1	36
wPt.8921	1	37
wPt.1505	1	38
wPt.9532	1	39
wPt.0205	1	40
wPt.1547	1	41
wPt.4427	1	42
wPt.4419	1	43
wPt.6853	1	44
wPt.5027	1	45
wPt.3611	1	46
wPt.2866	1	47
wPt.3605	1	48
wPt.1272	1	49
wPt.1940	1	50
wPt.5688	1	51
wPt.3533	1	52
wPt.3563	1	53
wPt.1191	1	54
wPt.3677	1	55
wPt.3774	1	56
wPt.6214	1	57
wPt.9270	1	58
wPt.8015	1	59
wPt.3109	1	60
wPt.0789	1	61
wPt.8021	1	62
wPt.3804	1	63
wPt.6343	1	64
wPt.0312	1	65
wPt.6965	1	66
wPt.0049	1	67
wPt.3879	1	68
wPt.4720	1	69
wPt.7063	1	70
wPt.7229	1	71
wPt.9757	1	72
wPt.4283	1	73
wPt.2185	1	74
wPt.5234	1	75
wPt.3451	1	76
wPt.8283	1	77
wPt.1313	1	78
wPt.3376	1	79
wPt.7906	1	80
wPt.7360	1	81
wPt.1589	1	82
wPt.7024	1	83
wPt.0695	1	84
wPt.8949	1	85
wPt.2872	1	86
wPt.1420	1	87
wPt.3491	1	88
wPt.8986	1	89
wPt.6442	1	90
wPt.2644	1	91
wPt.3738	1	92
wPt.6502	1	93
wPt.3030	1	94
wPt.2013	1	95
wPt.4597	1	96
wPt.7947	1	97
wPt.8183	1	98
wPt.7821	1	99
wPt.0689	1	100
wPt.4748	1	101
wPt.5390	1	102
wPt.3244	1	103
wPt.1737	1	104
wPt.8569	1	105
wPt.4199	1	106
wPt.1560	1	107
wPt.9746	1	108
wPt.4569	1	109
wPt.6997	1	110
wPt.9552	1	111
wPt.4709	1	112
wPt.8752	1	113
wPt.2311	1	114
wPt.9266	1	115
wPt.5587	1	116
wPt.0105	1	117
wPt.7413	1	118
wPt.6427	1	119
wPt.4129	1	120
wPt.8016	1	121
wPt.2689	1	122
wPt.7777	1	123
wPt.2938	1	124
wPt.3870	1	125
wPt.8054	1	126
wPt.3608	1	127
wPt.3462	1	128
wPt.5547	1	129
wPt.5716	1	130
wPt.8460	1	131
wPt.5343	1	132
wPt.0259	1	133
wPt.0950	1	134
wPt.2106	1	135
wPt.3247	1	136
wPt.2416	1	137
wPt.7711	1	138
wPt.2501	1	139
wPt.6074	1	140
wPt.1657	1	141
wPt.3389	1	142
wPt.1922	1	143
wPt.2572	1	144
wPt.4229	1	145
wPt.4386	1	146
wPt.9467	1	147
wPt.1085	1	148
wPt.1362	1	149
wPt.2424	1	150
wPt.0615	1	151
wPt.7150	1	152
wPt.5749	1	153
wPt.7502	1	154
wPt.5914	1	155
wPt.8399	1	156
wPt.0465	1	157
